supplier_name,product_name,unit_pack_info
,Kentaste Coconut Cream 400mlX12,
,Liquid Multipurpose 1X20ltr V,
,Velvex Oven Cleaner Spray 30ml V,
,Vel Kitchen Towel Singles 48s,
,Velvex Tp White 1X40 V,
,T.Paper Pekee Wrapped 10s White,
Bowip,,
,Assorted Lotta Toffees Jars 6 x 200pcs,
,Big G 50s x 30pkts,
,Fruity Drop Sweets 30pkts x 75pcs,
,P.K Juicy Fruit 2P 50s x 24,
,P.K Peppermint 2P 50s x 24,
,Vybez Chewing Gums Assorted 20pkt x 100pcs,
,Super Balls Ball Gum 12jars x 200pcs,
,P.K Menthol 50s x 36,
,P.K Peppermint 50s x 36,
,P.K Juicyfruit 50s x 36,
Shalina Healthcare Ke Ltd,,
,Kaluma Toothpaste Green 12x6x150g V,
,Kaluma Toothpaste Red 12x6x150g V,
,Kaluma Toothpaste White 12x6x150g V,
,Relax Lemon Sachets 12x12x5g,
,Shuggy Diaper Adult Ex Large,
,Shuggy Diaper Adult Large,
,Shuggy Diaper Adult Medium,
,Sonacare Sanitary Pad Ultra,
,Kaluma Pen  Blk 1x40x25pcs,
,Sonadol Extra Tab 10 x 10 x 48 Z,
,Optilait Formula No 2 6 - 12 Mnths x 12,
,Ibucap Caps 10C X 50PKT,
,Optilait Formula No 1 0 - 6 Mnths x 12,
,Kaluma King 1x18pk,
,Kaluma Pen Red 1x40x25pcs,
,Kaluma Pen Blu 1x40x25pcs,
,Kaluma Balm 4g 1x24x24pkt,
,Sonamoja Tab 1X48,
,Kaluma Strong Tab 1X48,
,Sonamoja Advance Tab 2 x 50 x 48 Z,
Bold Millers Ltd,,
,Wingi Maize Flour 1kg x 24,
,Wingi Maize Flour 2kg x 12,
Kim Fay E-Africa Ltd,,
,Cosy Poa Tp Pink 4x10s,
,Cosy Serviette 1ply 60 x 100 White,
,Cosy Tissue P Jumbo White,
,Cosy Tissue P Unwrap 12 x 4s White,
,Cosy Tissue P Unwrap 4 x 10s White,
,Cosy Tissue P Unwrap Twin Pack 20 x 2s White,
,Cosy Tp 4X10s,
,Cosy Tp Wrap 40s Singles White,
,Dove Bar Pink 135g x 6,
,Dove Bar Pink 90g x 6,
,Dove Beauty Cream Deep Moisture 135g x 6,
,Dove Cucumber & Green Tea 135g x 6,
,Dove Cucumber & Green Tea 90g x 6,
,Dove Sensitive Skin Hypoallergenic 90g x 6,
,Dove Shea Butter W Vanilla 135g x 6,
,Dove Shea Butter W Vanilla 90g x 6,
,Duracell Plus Power AA 20 Packs x 2 Cells,
,Duracell Plus Power AAA 10 Packs x 2 Cells,
,Duracell Plus Power AAA 10 Packs x 4 Cells,
,Duracell Simply AA 1 x 6,
,Duracell Simply AAA 1 x 6,
,Fay Alluminium Foil 30csX5mX36roll V,
,Fay Alluminum Foil 45cmX5X36rolls V,
,Fay Aluminium Foil 30cm x 30m,
,Fay Aluminium Foil 45cmX5mX12,
,Fay Baking Paper 38cm x 50m x 12,
,Fay Blue Pocket Handkerchiefs 12 x 10,
,Fay Cling Film 30cmX15mX36 Roll V,
,Fay Cling Film 30cmX30mX12,
